y_test,y_predictions
48.0,70.66666666666667
70.0,54.0
57.0,52.666666666666664
70.0,73.0
70.0,86.0
10.0,59.0
65.0,63.333333333333336
66.0,85.0
20.0,40.0
70.0,38.333333333333336
70.0,60.666666666666664
60.0,69.0
61.0,74.0
70.0,55.666666666666664
70.0,45.0
86.0,54.0
47.0,51.666666666666664
57.0,73.33333333333333
72.0,59.0
70.0,61.666666666666664
40.0,44.0
65.0,50.0
73.0,47.666666666666664
55.0,49.333333333333336
60.0,61.0
54.0,41.0
83.0,57.0
71.0,71.33333333333333
57.0,48.0
72.0,62.0
23.0,61.333333333333336
81.0,75.66666666666667
66.0,68.66666666666667
84.0,55.333333333333336
66.0,50.333333333333336
51.0,47.333333333333336
30.0,63.333333333333336
75.0,64.33333333333333
87.0,65.66666666666667
86.0,57.333333333333336
75.0,49.333333333333336
60.0,51.666666666666664
50.0,50.666666666666664
65.0,59.666666666666664
71.0,48.666666666666664
70.0,64.66666666666667
55.0,48.333333333333336
70.0,60.333333333333336
39.0,51.333333333333336
50.0,49.0
61.0,63.0
40.0,66.66666666666667
77.0,49.666666666666664
62.0,54.666666666666664
33.0,61.0
10.0,50.666666666666664
78.0,65.33333333333333
80.0,46.333333333333336
72.0,68.66666666666667
70.0,65.33333333333333
71.0,63.333333333333336
75.0,58.333333333333336
60.0,61.666666666666664
50.0,47.666666666666664
78.0,67.66666666666667
69.0,70.0
64.0,56.666666666666664
76.0,68.0
60.0,71.0
66.0,48.666666666666664
20.0,52.0
40.0,56.0
20.0,51.0
74.0,59.333333333333336
85.0,38.0
75.0,70.33333333333333
77.0,56.666666666666664
50.0,61.666666666666664
30.0,52.333333333333336
73.0,68.66666666666667
72.0,51.333333333333336
76.0,72.33333333333333
90.0,75.0
100.0,60.0
77.0,54.0
67.0,68.0
25.0,65.33333333333333
70.0,72.66666666666667
51.0,55.666666666666664
90.0,76.66666666666667
54.0,55.0
70.0,66.33333333333333
40.0,46.666666666666664
55.0,72.33333333333333
68.0,75.66666666666667
73.0,73.0
50.0,29.666666666666668
84.0,57.333333333333336
10.0,19.0
73.0,63.333333333333336
80.0,69.66666666666667
64.0,55.666666666666664
60.0,83.33333333333333
30.0,66.0
69.0,66.0
75.0,75.33333333333333
70.0,56.0
59.0,30.0
74.0,56.333333333333336
20.0,38.666666666666664
78.0,46.0
70.0,71.0
62.0,58.333333333333336
40.0,39.0
63.0,67.66666666666667
60.0,75.66666666666667
70.0,49.0
